"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2022-190368","特願2021-098655","2021/06/14","2022/12/26","高さ調整装置および製造装置","川崎重工業株式会社","H01L21/68@A,B25J17/02@F","(57)【要約】
【課題】装置本体の一部を構成する下側部材に対する、装置本体の他の一部を構成する上側部材の高さを容易に調整することが可能な高さ調整装置を提供する。
【解決手段】この高さ調整装置３０は、製造装置本体１００ａの一部を構成する下側部材３１と、製造装置本体１００ａの他の一部を構成する上側部材３２と、下側部材３１と上側部材３２との間に設けられ、高さ方向から見て互いに異なる箇所に配置される球面滑り軸受け３３ａ、球面滑り軸受け３３ｂ、および、球面滑り軸受け３３ｃと、球面滑り軸受け３３ａ、球面滑り軸受け３３ｂ、および、球面滑り軸受け３３ｃにそれぞれ対応して設けられ、下側部材３１に対する上側部材３２の高さを調整する３つの昇降部３５と、を含む、高さ調整ユニットと、を備える。また、高さ調整装置３０は、３つの昇降部３５を駆動することによって、下側部材３１に対する上側部材３２の高さを調整する。
【選択図】図８
","特開2022-190368","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-190368/11/ja"
"特開2022-189541","特願2021-098173","2021/06/11","2022/12/22","フィギュアシステムおよび動力機構","スピーシーズ株式会社","A63H3/18,A63H30/02@Z,A63H29/22@C,B25J11/00@Z","(57)【要約】      （修正有）
【課題】外観上の審美性に優れ、多彩な動作が実現されるフィギュアシステムを提供する。
【解決手段】このフィギュアシステムは、複数のアクチュエータの回転位置を決定する事で表現されるフィギュアのポーズや動作モーションといったフィギュア制御情報は、インターネットや外部ネットワークを通じて接続されたＰＣ、スマートホン、タブレットなどの情報端末４０００のアプリケーション画面上に表示されたアイコンＭＩＣを選択し指でタッチする事でモーションメッセージＭＭとしてフィギュアの制御部ＣＴに伝達され、制御部ＣＴがモーションメッセージに対応させてフィギュアを動作させる制御情報を生成する。
【選択図】図１９
","特開2022-189541","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-189541/11/ja"
"特開2022-183568","特願2021-090954","2021/05/31","2022/12/13","ロボット付き医療機器操作台、ロボット付き点滴台、及び医療機器操作システム","大成建設株式会社","A61G13/00@Z,A61M5/142,530,A61M5/145,500,A61B34/30,B25J9/06@B","(57)【要約】
【課題】ロボットを利用して複数の種類の複数の医療機器を遠隔操作可能なロボット付き医療機器操作台、ロボット付き点滴台、及び医療機器操作システムを提供する。
【解決手段】架台３と、該架台３に固定される医療機器５と、前記架台３に固定され、前記医療機器５を操作可能とするロボット７と、遠隔入力機器と通信し、前記ロボット７を制御する制御装置１１と、を備える。
【選択図】図１
","特開2022-183568","","","","","審査中","手続補正","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-183568/11/ja"
"特開2022-174662","特願2021-080612","2021/05/11","2022/11/24","力覚センサおよびそれを有するロボット","キヤノン株式会社","G01L5/166,G01L5/169,G01L5/165,B25J19/02","(57)【要約】
【課題】  熱応力による出力（検出値）の変化を低減することが可能な力覚センサを提供する。
【解決手段】  ベース部と、外力を受けてベース部に対して変位する変位部と、ベース部と変位部を弾性的に連結する弾性連結部と、を有する起歪体と、第１の方向における、ベース部に対する変位部の変位を検出する検出部が配置された基板と、基板の面及び第１の方向と交差する第２の方向に延出する延出部を有し、起歪体と基板の間に介在する介在部材と、を備えることを特徴とする力覚センサ。
【選択図】  図２
","特開2022-174662","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-174662/11/ja"
"特開2022-174639","特願2021-080573","2021/05/11","2022/11/24","ロボット","学校法人幾徳学園,国立大学法人豊橋技術科学大学,新東工業株式会社","A61H3/00@Z,B25J5/00@A,B25J13/00@Z,B25J9/22@Z","(57)【要約】
【課題】人に対する認識を容易に把握できるロボットを実現する。
【解決手段】本発明の一態様に係るロボット（１）は、ロボット（１）の擬似的な視線を提示する視線提示部（１１）と、ロボットの周囲の人を検知する人検知部（１２）と、視線提示部（１１）が提示する前記視線を、一時的に、人検知部（１２）が検知した人に向ける制御部（１０）と、を備えている。
【選択図】図１
","特開2022-174639","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-174639/11/ja"
"特開2022-174638","特願2021-080572","2021/05/11","2022/11/24","ロボット","学校法人幾徳学園,国立大学法人豊橋技術科学大学,新東工業株式会社","A61H3/00@Z,B25J5/00@A,B25J13/00@Z,B25J9/22@Z,H04N7/18@K","(57)【要約】
【課題】煩わしさを軽減しつつ、より高精度に対象者の歩行安定性を判定可能なロボットを実現する。
【解決手段】本発明の一態様に係るロボット（１）は、自律走行するための走行部（１４）と、周囲の対象者の歩行状態および歩行環境を検知する検知部（１１）と、前記検知部の検知結果に基づいて前記対象者の歩行安定性を判定する判定部（１２）と、を備えている。
【選択図】図１
","特開2022-174638","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-174638/11/ja"
"特開2022-169214","特願2021-075096","2021/04/27","2022/11/09","内接噛合遊星歯車装置及びロボット用関節装置","霊智信息服務（深▲セン▼）有限公司,広東▲極▼▲亞▼精机科技有限公司,広東美的制冷設備有限公司,美的集団股▲フン▼有限公司","F16H1/32@A,B25J17/00@E","(57)【要約】
【課題】小型化しやすい内接噛合遊星歯車装置及びロボット用関節装置を提供する。
【解決手段】内接噛合遊星歯車装置１Ａは、内歯歯車２と、遊星歯車３と、複数の内ピン４と、入力軸としての偏心軸７と、ブッシュ７０と、を備える。複数の内ピン４は、遊星歯車３に形成された複数の遊嵌孔３２にそれぞれ挿入された状態で、遊嵌孔３２内を公転しながら内歯歯車２に対して回転軸Ａｘ１を中心に相対的に回転する。偏心軸７は、遊星歯車３を偏心揺動させる。ブッシュ７０は、相手部材を固定するための固定構造７０１を有し、偏心軸７に結合されて偏心軸７と共に回転する。
【選択図】図１１
","特開2022-169214","","特許7490612","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-169214/11/ja"
"特開2022-169160","特願2021-075018","2021/04/27","2022/11/09","ロボットシステム","川崎重工業株式会社","A61B34/30,B25J3/00@Z,A61B90/70,A61L2/16,A61L101:06,A61L101:34","(57)【要約】
【課題】被検者からの感染リスクを低減することが可能なロボットシステムを提供する。
【解決手段】このロボットシステム１００は、被検者Ｓに対して処置を行うスレーブロボット１０と、被検者Ｓに対する処置に係わる少なくともスレーブロボット１０のハンド部１２を外部から遮蔽する筐体５１ａを含み、筐体５１ａに遮蔽されたハンド部１２に対して消毒液を噴射して消毒する消毒装置５１と、を備える。
【選択図】図１
","特開2022-169160","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-169160/11/ja"
"特開2022-166397","特願2021-071591","2021/04/21","2022/11/02","ロボット制御システム、ロボット制御方法、及び、制御プログラム","トヨタ自動車株式会社","G05D1/02@P,B25J5/00@A,G05D1/226,G05D1/43,G05D1/60,G05D1/69,G05D1/692,G05D1/80,G05D1/86,G05D105:00,G05D109:00,G05D1/225","(57)【要約】
【課題】要復旧状態の複数の移動ロボットのうち復旧の優先度の高い移動ロボットから優先的に復旧させることが可能なロボット制御システム、ロボット制御方法、及び、制御プログラムを提供すること。
【解決手段】本実施の形態にかかるロボット制御システムは、施設内を自律移動する複数の移動ロボットと、複数の移動ロボットを制御する制御装置と、を備えた、ロボット制御システムであって、制御装置は、複数の移動ロボットのうち２台以上の移動ロボットが要復旧状態であることを検出した場合、２台以上の移動ロボットが要復旧状態である旨をそれらの優先度とともに通知する。
【選択図】図１
","特開2022-166397","","","","","審査中","特許査定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-166397/11/ja"
"特開2022-163897","特願2021-069014","2021/04/15","2022/10/27","救命救急システム、救命救急ロボット、救命救急システム制御方法、およびプログラム","本田技研工業株式会社","A61B5/00@D,G08B25/04@K,G08B21/02,H04M11/04,B25J5/00@A","(57)【要約】
【課題】現場の安全確保、プライバシー保護が可能となる救命救急システム、救命救急ロボット、救命救急システム制御方法、およびプログラムを提供することを目的とする。
【解決手段】救命救急システムは、遠隔操作機能と、患者の周辺の環境情報を取得する撮影装置と、複数の報知部と、を備える救命救急装置と、環境情報を取得し、取得した環境情報を用いて選定されたバイスタンダーを示す選定情報を送信する端末と、端末から取得した選定情報に基づいて、特定されたバイスタンダーに指向性を合わせてバイスタンダーに複数の報知部のうちの少なくとも１つの指向性を制御する指向性操作手段と、を備える。
【選択図】図３
","特開2022-163897","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-163897/11/ja"
"特開2022-163895","特願2021-069012","2021/04/15","2022/10/27","救命救急システム、救命救急方法、およびプログラム","本田技研工業株式会社","B25J5/00@A,G08B25/04@K,H04M3/14,A61B5/00,102@A","(57)【要約】
【課題】通報者が救命救急装置を取りに行かなくても救命救急装置の近くにいる人に患者のいる位置まで運ぶことを可能とする救命救急システム、救命救急方法、およびプログラムを提供することを目的とする。
【解決手段】救命救急システムは、救命救急装置と救命救急通報を発する救命救急通報機と、を備え、救命救急装置は、救命救急通報の発せられた位置情報と救命救急装置の自己位置との差分から、自己位置から救命救急通報の発せられた位置までの経路情報を生成する経路生成部と、経路生成部が生成した経路情報に基づいて、自己位置から救命救急通報の発せられた位置までのナビゲーションを音声および画像のうちの少なくとも１つで、救命救急装置の周囲の人に報知する出力部と、を備える。
【選択図】図３
","特開2022-163895","","","","","審査中","拒絶理由通知","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-163895/11/ja"
"特開2022-163893","特願2021-069010","2021/04/15","2022/10/27","救命救急ロボット、救命救急ロボットシステム","本田技研工業株式会社","B25J5/00@A","(57)【要約】
【課題】医療行為が可能な人が現場にいなくても遠隔操作で救護にあたることができる救命救急ロボット、救命救急ロボットシステムを提供することを目的とする。
【解決手段】救命救急ロボットは、遠隔操作可能な救命救急ロボットであって、少なくとも１つ以上の位置や方向を遠隔操作可能な撮影装置と救命救急用の救命器具を収納した救命器具収納部と、遠隔操作可能な少なくとも１つのエンドエフェクタと、を備える。
【選択図】図６
","特開2022-163893","","","","","審査中","拒絶理由通知","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-163893/11/ja"
"特開2022-159977","特願2021-171112","2021/10/19","2022/10/18","グリッパ、ソフトロボットグリッパおよび装置","三菱電機株式会社","B25J15/00@Z","(57)【要約】      （修正有）
【課題】幾何学的形状、均一形状および不均一形状を含む多種多様な成形物体を把持することができる、汎用的なグリップ動作および関連するコマンド動作命令を有するインターロック触手グリッパを提供する。
【解決手段】グリッパは、ベースに取り付けられた２本以上の曲げ触手を有する。２本以上の触手の各々は、歯の間に介在する隙間によって分離された歯の列を用いて構成され、歯の接合面は、触手の長軸から歯側面角度θを引いた方向に対して垂直に延在し、互いに噛み合うとインターロック構造を形成する。インターロック構造は、物体を固定するためのグリップ動作において接合力を伝達するように適合される。物体を握っている間、触手の長軸は触手の長さに沿った任意の点において平行ではない。
【選択図】図１
","特開2022-159977","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-159977/11/ja"
"特許7153779","特願2021-134789","2021/08/20","2022/10/14","搬送システム及び搬送方法","大陽日酸株式会社","B25J15/06@A,B65G47/91@A,B66C1/02@B","(57)【要約】
【課題】熟練技術や強靱な体力を持たない作業者であっても、ボンベ等の重量物を転倒させることなく安全且つ容易に搬送でき、作業性に優れるとともに、サイズや形状に関わらず、被搬送物を搬送することが可能な搬送システム及び搬送方法を提供する。
【解決手段】被搬送物であるボンベ８０の表面８０ａを吸着し、宙吊り姿勢でボンベ８０を搬送する搬送システム１であり、負圧発生装置２と、ボンベ８０の表面８０ａを吸着する吸着装置４と、吸着装置４を昇降させるシリンダ昇降装置３と、を備え、吸着装置４がボンベ８０を上方から被覆した状態で、負圧発生装置２で発生させた負圧により、吸着装置４とボンベ８０との間に形成される内部空間を真空吸引することで、吸着装置４の周端縁がボンベ８０の表面８０ａに吸着する。
【選択図】図１
","特開2023-028850","","特許7153779","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7153779/15/ja"
"特開2022-147897","特願2021-049356","2021/03/24","2022/10/06","自動潤滑ロボット","川崎重工業株式会社","B25J19/00@Z,F16N7/14,F16N11/10,F16N13/02","(57)【要約】
【課題】複雑な調整を行うことなくロボット部に自動的に潤滑剤を供給できる自動潤滑ロボットを提供する。
【解決手段】自動潤滑ロボット１は、ロボット部１０と、グリスホース３５と、送出部２と、を備える。ロボット部１０は、直線運動する昇降部１２と当該昇降部１２に連結されたアーム１３とを有し、クリーンルームに配置されて作業を行う。グリスホース３５には、ロボット部１０を潤滑するグリスが通る。送出部２は、昇降部１２の直線運動を受けて、グリスホース３５を介してロボット部にグリスを送出する。
【選択図】図１
","特開2022-147897","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-147897/11/ja"
"特表2024-511791","特願2023-558682","2022/03/14","2022/09/29","非接触式の搬送装置","ローベルト　ボツシユ　ゲゼルシヤフト　ミツト　ベシユレンクテル　ハフツング","H01L21/68@A,B25J5/00@Z,B25J9/06@D","(57)【要約】
  １つ又は複数の有効積荷、特にウェーハを搬送体によって搬送するように設計されている搬送装置が開示される。搬送体は、ステータの搬送表面上で浮上して、運動可能かつ位置決め可能である。好適には、６個全ての自由度に関して運動及び位置決めが行われる。搬送体は、運動可能なブーム又は運動可能なマニピュレータ又は運動可能なロボットアームを有している。そのエンドエフェクタに有効積荷を置く又は固定することが可能である。発展形態においては、有効積荷を処理及び／又は検査することもできる。この処理及び／又は検査を、同一の搬送装置の別の搬送体のエンドエフェクタによって実行することもできる。
","特表2024-511791","","","","","審査中","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-511791/11/ja"
"特開2022-131206","特願2021-030029","2021/02/26","2022/09/07","情報処理装置、学習装置、情報処理システム及びロボットシステム","川崎重工業株式会社","G06Q50/20,B25J3/00@Z,G06Q10/06,332,G06Q10/0639","(57)【要約】      （修正有）
【課題】ロボット操作へのユーザの意欲の向上を図る情報処理装置、学習装置、情報処理システム及びロボットシステムを提供する。
【解決手段】制御装置１７０において、情報処理装置は、操作指令に従って動作するロボットの動作関連情報を検出する処理をロボットでの作業の実行中に実行する検出処理部と、動作関連情報を基準と比較し評価する処理を前記作業の実行中に実行する評価処理部と、評価結果を提示装置に提示させる処理を作業の実行中に実行する提示処理部とを含む。評価処理部は、ロボットの評価対象動作の都度のタイミングと、作業の評価対象段階の都度のタイミングとのうちの少なくとも一方のタイミングで評価処理を実行する。提示処理部は、評価対象動作に関する評価結果を評価対象動作の実行順序と同じ順序で操作端末のディスプレイに提示させ、評価対象段階に関する評価結果を評価対象段階の実行順序と同じ順序で前記ディスプレイに提示させる。
【選択図】図４
","特開2022-131206","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-131206/11/ja"
"特開2022-128115","特願2021-026470","2021/02/22","2022/09/01","メンテナンス支援システム","川崎重工業株式会社","B25J19/06","(57)【要約】
【課題】ロボットのメンテナンス作業を実行するために必要な情報を取得することができる、メンテナンス支援システムを提供することを目的とする。
【解決手段】本開示に係るメンテナンス支援システムは、ロボット１０１と、異常検出器１１０と、表示装置１２０と、制御装置２００と、を備え、記憶器２００ｂには、異常検出器１１０が検出したロボット１０１における複数のエラーコードを含む入力データと、異常検出器１１０が異常状態を検出したロボット１０１の異常が発生した部位を含む出力データと、を対応付けた多数の教師データによって学習した学習済モデル２１０が記憶されており、演算器２００ａは、異常検出器１１０が検出したロボット１０１に関する異常状態のデータを入力データとして入力し、入力データに対応する出力データを学習済モデル２１０から導き出すように構成されている。
【選択図】図１
","特開2022-128115","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-128115/11/ja"
"特開2022-128114","特願2021-026469","2021/02/22","2022/09/01","メンテナンス支援システム","川崎重工業株式会社","B25J19/06","(57)【要約】
【課題】ロボットのメンテナンス作業を実行するために必要な情報を取得することができる、メンテナンス支援システムを提供することを目的とする。
【解決手段】本開示に係るメンテナンス支援システムは、ロボット１０１と、異常検出器１１０と、表示装置１２０と、制御装置２００と、を備え、記憶器２００ｂには、異常検出器１１０が検出したロボット１０１に関する異常状態のデータを含む入力データと、取扱説明書、メンテナンスマニュアル、及びロボット１０１の図面のうち、少なくとも１つの情報を含む出力データと、を対応付けた多数の教師データによって学習した学習済モデル２１０が記憶されており、演算器２００ａは、異常検出器１１０が検出したロボット１０１に関する異常状態のデータを入力データとして入力し、入力データに対応する出力データを学習済モデル２１０から導き出すように構成されている。
【選択図】図１
","特開2022-128114","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-128114/11/ja"
"特開2022-127917","特願2021-026156","2021/02/22","2022/09/01","搬送システム、搬送方法及びプログラム","トヨタ自動車株式会社","B25J19/06,G05D1/667,G05D1/43,G05D1/639,G05D1/648","(57)【要約】
【課題】搬送ロボットの制御誤差による搬送物と障害物との干渉を抑制すること。
【解決手段】搬送システムは、障害物に隣接した搬送物に対して所定の制御目標の方向で接近して搬送物の下に潜り込み昇降手段により搬送物を持ち上げた状態で移動することで、搬送物を搬送する搬送ロボットを備える搬送システムは、搬送ロボットが搬送物の下に潜り込む際の所定の制御目標の方向に対するヨー方向の振れを示す制御誤差の情報を取得する誤差取得手段と、誤差取得手段により取得された制御誤差の情報に基づいて搬送ロボットが昇降手段により搬送物を持ち上げた状態で動き出す際に搬送物と障害物が干渉するか否かを判定する判定手段と、判定手段により搬送物と障害物が干渉すると判定された場合に搬送ロボットが搬送物の下に潜り込む際の所定の制御目標の方向を、制御誤差を抑制するように修正する修正手段と、を備える。
【選択図】図５
","特開2022-127917","","特許7497694","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-127917/11/ja"
"特開2022-117832","特願2021-014557","2021/02/01","2022/08/12","ロボット制御システム、ロボット制御方法、及びプログラム","トヨタ自動車株式会社","G05D1/02@H,B25J5/00@A,G05D1/222,G05D1/223,G05D1/224,G05D1/2285,G05D1/229,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/622,G05D1/633,G05D1/639,G05D1/656,G05D1/69,G05D105:00,G05D105:20,G05D107:00,G05D107:17,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:63,G05D1/86","(57)【要約】
【課題】適切に移動ロボットを制御することができる制御システム、制御方法、及びプログラムを提供する。
【解決手段】本実施の形態にかかるロボット制御システムは、施設内において自律走行可能な複数の搬送ロボットを制御するロボット制御システムであって、第１の搬送ロボットにエラーが発生したことを示すエラー情報を取得し、第１の搬送ロボットの搬送物に関する搬送物情報を取得し、搬送物情報に基づいて、複数の搬送ロボットの中から、第１の搬送ロボットの搬送物を搬送可能な第２の搬送ロボットを決定し、第１の搬送ロボットの搬送物の移し替え場所に、第２の搬送ロボットを移動させる。
【選択図】図２
","特開2022-117832","","特許7494748","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-117832/11/ja"
"特表2024-506611","特願2023-547773","2022/02/08","2022/08/11","ナビゲーション及び操作機能を含む技能をロボティック学習及び実行するシステム、装置、及び方法","ディリジェント　ロボティクス，インコーポレイテッド","B25J13/08@A,B25J19/06","(57)【要約】
  ロボティック学習及び技能実行のシステム、装置、及び方法が記載される。ロボティック装置は、メモリ、プロセッサ、センサ、及び１つ又は複数の可動構成要素（例えば、操作要素及び／又は輸送要素）を含むことができる。プロセッサは、メモリ、可動要素、及びセンサに動作可能に結合することができ、環境内にある１つ又は複数の物体を含め、環境の情報を取得するように構成することができる。幾つかの実施形態では、プロセッサは、実演、探索、ユーザ入力等を通して技能を学習するように構成することができる。幾つかの実施形態では、プロセッサは、技能を実行及び／又は異なる挙動及び／又は動作間を調停するように構成することができる。幾つかの実施形態では、プロセッサは、キャッシュされた軌跡又は計画を使用して技能及び／又は挙動を実行するように構成することができる。幾つかの実施形態では、プロセッサは、ナビゲーション及び操作挙動を必要とする技能を実行するように構成することができる。
","特表2024-506611","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-506611/11/ja"
"特開2022-116155","特願2022-084911","2022/05/25","2022/08/09","遠隔操作医療システムにおける器具の画面上での識別のためのシステム及び方法","インテュイティブ　サージカル　オペレーションズ，　インコーポレイテッド","A61B34/35,B25J3/00","(57)【要約】      （修正有）
【課題】オペレータ制御システム及び手術環境において医療器具の動きを制御するように構成される複数のマニピュレータを含む遠隔操作アセンブリと処理ユニットとを有するシステムを提供する。
【解決手段】システムのマニピュレータは、オペレータ制御システムによって遠隔操作式に制御される。システムはさらに、手術環境２００の視野の画像２０２を表示し、マニピュレータ及びオペレータ制御システムに関する関連情報を決定し、手術環境の視野の画像内において医療器具２６ａ、２６ｂ、２６ｃの近くにバッジ２０６、２０７を表示する、ように構成される。バッジは、それらが関連付けられて現れる医療器具のための関連情報を表示するように構成される処理ユニットを含む。
【選択図】図２Ａ
","特開2022-116155","","","拒絶2024-014272","","査定不服","手続補正","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-116155/11/ja"
"特表2024-503310","特願2023-540052","2021/12/21","2022/07/07","ロボットカテーテル及び手動吸引カテーテル","オーリス　ヘルス　インコーポレイテッド","A61M25/08,A61B90/96,A61B90/98,A61M25/01,B25J11/00@Z,A61B34/30","(57)【要約】
  吸引カテーテルが、細長いシャフトと、シャフトに結合され、シャフトの少なくとも遠位部分の作動を制御するように構成された器具基部と、を含むことができる。シャフトは、吸引システムに結合して、患者から対象物を除去することなどのために、標的部位に吸引を提供するように構成されたルーメンを含むことができる。器具基部は、シャフトの少なくとも遠位部分を関節運動させるように、ロボット制御及び／又は手動制御され得る。
","特表2024-503310","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-503310/11/ja"
"特開2022-101273","特願2020-215748","2020/12/24","2022/07/06","ロボット","川崎重工業株式会社","B25J5/00@A","(57)【要約】      （修正有）
【課題】障害物への対応が可能であり且つ構造の簡略化を可能にするロボットを提供する。
【解決手段】ロボット１００は、自走可能な搬送車１１０と、前記搬送車に搭載される少なくとも１つのロボットアーム１２０Ａ，Ｂと、前記搬送車に搭載され且つ前記搬送車に対して前記少なくとも１つのロボットアームを昇降する昇降装置１４０と、前記搬送車の重心を変動させる変動装置と、前記搬送車、前記少なくとも１つのロボットアーム、前記昇降装置及び前記変動装置の動作を制御するように構成される制御装置とを備え、前記制御装置は、前記搬送車の進行方向である第１方向に存在する、走行面の上方への段差があるとき、前記搬送車の重心を前記第１方向と反対方向である第２方向に移動するように前記変動装置に動作させるように構成される。
【選択図】図６
","特開2022-101273","","","","","審査中","拒絶理由通知","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-101273/11/ja"
"特開2022-100860","特願2020-215099","2020/12/24","2022/07/06","ロボット制御システム、ロボット制御方法、及びプログラム","トヨタ自動車株式会社","G05D1/02@H,B25J5/00@E,G05D1/222,G05D1/223,G05D1/224,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D1/622,G05D1/633,G05D1/639,G05D105:00,G05D105:20,G05D107:00,G05D107:17,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:63","(57)【要約】
【課題】適切に移動ロボットを制御することができる制御システム、制御方法、及びプログラムを提供する。
【解決手段】本実施の形態にかかるロボット制御システムは、施設内を自律移動可能な移動ロボット２０を制御するロボット制御システムであって、移動ロボット２０の進行方向前方の走行エリアに存在する人の属性情報を取得し、属性情報に応じて、移動ロボット２０の動作強度の上限値を設定し、上限値に応じて、移動ロボットの動作を制御する。
【選択図】図２
","特開2022-100860","","特許7505399","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-100860/11/ja"
"特開2022-100650","特願2020-214748","2020/12/24","2022/07/06","荷物搬送システム、荷物搬送方法および荷物搬送プログラム","トヨタ自動車株式会社","G05D1/02@Y,B25J5/00@E,G05D1/24,G05D1/242,G05D1/249,G05D1/43,G05D1/60,G05D1/622,G05D1/628,G05D1/667,G05D111:00,G05D111:63","(57)【要約】      （修正有）
【課題】適切な所定値を設定することで、ロボットが移動できるエリアを拡大し、運搬効率を向上させることができる荷物搬送システムを提供する。
【解決手段】荷物搬送システム１は、障害物との間の距離が所定値以下にならないように移動しつつ、荷物を目的地まで搬送する搬送ロボット２００と、荷物、搬送ロボットの移動速度、及び、搬送ロボットが移動する路面の状態のうちの少なくとも１つに応じて、所定値を変更する所定値変更手段と、を備えている。
【選択図】図２
","特開2022-100650","","","","","審査中","拒絶査定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-100650/11/ja"
"特許7559088","特願2022-571535","2021/12/22","2022/06/30","ロボット及びロボットの制御方法","川崎重工業株式会社","B25J5/00@A,B25J15/04@A","null","WO2022/138695","","特許7559088","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7559088/15/ja"
"特許7512432","特願2022-571407","2021/12/17","2022/06/30","ロボットシステム及び受動アーム","川崎重工業株式会社","B25J9/06@A,B25J19/00@C,B25J13/00@Z,B25J19/00@Z,B25J9/16","null","WO2022/138502","","特許7512432","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7512432/15/ja"
"特許7473685","特願2022-570057","2021/12/16","2022/06/23","制御装置、ロボットシステム及び学習装置","川崎重工業株式会社","B25J13/08@A","null","WO2022/131335","","特許7473685","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7473685/15/ja"
"特表2023-554038","特願2023-536124","2021/12/07","2022/06/23","可撓性デバイスのための予測動作マッピング","コーニンクレッカ　フィリップス　エヌ　ヴェ","A61B34/20,G06T7/00,612,G06T7/00,350@B,G06V10/70,B25J19/06","(57)【要約】
  インターベンション型医療デバイス用のコントローラ１５０は、メモリ１５１とプロセッサ１５２とを含む。メモリ１５１は、プロセッサ１５２が実行する命令を記憶する。命令が実行されるとき、命令は、コントローラ１５０に、インターベンション型医療デバイス１０１の遠位端の少なくとも１つの位置を取得させ、インターベンション型医療デバイス１０１の近位端における動作を特定させ、第１の訓練済み人工知能を、インターベンション型医療デバイス１０１の近位端における動作と、インターベンション型医療デバイス１０１の遠位端の少なくとも１つの位置とに適用させ、インターベンション型医療処置中に、インターベンション型医療デバイス１０１の遠位端に向かってインターベンション型医療デバイス１０１に沿った動作を予測させる。また、コントローラ１５０は、実際の動作が予測動作と乖離したときを決定するために、医療撮像システム１２０からインターベンション型医療デバイス１０１の遠位端の画像を取得する。
","特表2023-554038","","","","","審査中","手続補正","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-554038/11/ja"
